location,lat,long
Abila Airport,36.050969835000004,24.825931275000002
U-Pump,36.06774866000001,24.87149411
Brew've Been Served,36.054035845,24.901202945
Kalami Kafenion,36.06583318,24.852373035
Katerinas Cafe,36.054455715,24.89992967
Guy's Gyros,36.055821304999995,24.902547795
Gelatogalore,36.059754534999996,24.857996489999998
Abila Zacharo,36.063474475,24.851022675000003
Ouzeri Elian,36.051949135,24.870791035
Albert's Fine Clothing,36.075254834999996,24.856285624999998
Frydos Autosupply n' More,36.054957035,24.90179316
Kronos Pipe and Irrigation,36.065317754999995,24.83316992
Maximum Iron and Steel,36.064047035,24.841404535000002
Carlyle Chemical Inc.,36.058546379999996,24.880893345
Stewart and Sons Fabrication,36.054174625,24.908116145
Nationwide Refinery,36.058443929999996,24.88549086
Abila Scrapyard,36.074389929999995,24.845948915
Frank's Fuel,36.072162109999994,24.84133855
Hippokampos,36.076641,24.857599
Shoppers' Delight,36.052859225000006,24.868597705
Hallowed Grounds,36.063658185,24.885897815
Daily Dealz,36.06644339,24.88264199
General Grocer,36.06033762,24.85653086
Octavio's Office Supplies,36.05856317,24.857921935
Ahaggo Museum,36.07714712,24.87619283
Chostus Hotel,36.0706817,24.895260595
Bean There Done That,36.081803,24.85095648
Brewed Awakenings,36.073336850000004,24.864171759999998
Coffee Cameleon,36.05467411,24.889794995
Desafio Golf Course,36.0895915,24.860744415
GAStech,36.048022,24.879522
Jack's Magical Beans,36.067529035,24.87335874
Roberts and Sons,36.063299425,24.85228613
Kronos Mart,36.06585217,24.84982234
